SHG_Name,Date_of_Establishment,Number_of_Members,Sector,Annual_Revenue,Annual_Profit,Expenses,Loan_Amount,Loan_Repayment_Status,Projects_Completed,Success_Rate,Geographical_Area,Market_Reach,Training_Programs_Attended,Community_Impact,Awards_Recognitions,Economic_Conditions,Government_Support,Market_Trends,Credit_Score
SHG_13,2001-02-28,33,Services,83340,1726,48596,5110,Default,19,0.8208159544136773,Urban,National,5,Low,National,Average,High,Downward,6
SHG_14,2001-03-31,12,Agriculture,82101,14832,28171,12087,Default,19,0.8518961554952538,Urban,Regional,6,Medium,None,Average,Medium,Stable,7
SHG_15,2001-04-30,31,Agriculture,81520,12362,39905,17508,Paid,12,0.6866299072313795,Urban,Local,7,Low,Local,Poor,Low,Upward,6
SHG_16,2001-05-31,11,Handicrafts,97062,19297,25829,17081,Default,5,0.7818299855143811,Rural,National,3,Medium,National,Good,High,Downward,8
SHG_17,2001-06-30,33,Handicrafts,28574,11106,39054,2179,Paid,10,0.7253432374694566,Urban,Local,2,Low,Local,Average,Medium,Downward,3
SHG_18,2001-07-31,39,Services,19184,8657,49139,9596,Default,17,0.8360280193761267,Urban,Local,4,High,Local,Poor,Low,Upward,1
SHG_19,2001-08-31,47,Handicrafts,29096,19850,34734,5251,Pending,5,0.7917784836624093,Rural,Local,8,Low,Local,Good,High,Upward,3
SHG_20,2001-09-30,11,Services,77728,15551,12052,9235,Default,16,0.7628781097795674,Urban,National,5,High,National,Good,Medium,Downward,8
SHG_21,2001-10-31,30,Handicrafts,44016,8906,8654,18313,Default,7,0.6247621834191244,Rural,Regional,8,High,Local,Good,High,Upward,5
SHG_22,2001-11-30,42,Agriculture,21246,8287,28486,14871,Paid,9,0.501009258874117,Rural,Regional,5,Medium,National,Average,High,Stable,2
SHG_23,2001-12-31,21,Services,55558,1892,23743,1013,Default,3,0.5870408376557146,Urban,Regional,1,Low,None,Average,Low,Stable,5
SHG_24,2002-01-31,31,Services,28381,11222,29489,16610,Pending,15,0.5585330207120843,Rural,Local,4,Medium,National,Average,Low,Downward,3
SHG_25,2002-02-28,34,Agriculture,46455,5675,13636,1828,Paid,16,0.7245423725054734,Urban,National,8,Low,None,Good,Medium,Stable,5
SHG_26,2002-03-31,36,Services,14018,2933,11441,7909,Paid,18,0.8061290753809223,Urban,Local,7,High,National,Average,Low,Stable,2
SHG_27,2002-04-30,37,Services,21302,18764,29611,5588,Default,14,0.6065425043424041,Rural,Regional,6,High,Local,Poor,Medium,Downward,3
SHG_28,2002-05-31,25,Handicrafts,77506,12873,47435,13109,Paid,3,0.9695285479835936,Rural,Regional,0,Low,National,Average,High,Upward,6
SHG_29,2002-06-30,24,Services,51157,18674,17149,2023,Paid,12,0.5033410646119438,Urban,National,3,Low,Local,Average,High,Downward,6
SHG_30,2002-07-31,12,Agriculture,64917,19024,39566,14537,Paid,9,0.8861505075826714,Rural,Local,6,Medium,None,Good,Medium,Stable,5
SHG_31,2002-08-31,46,Handicrafts,93122,14239,47368,5891,Paid,7,0.8126023847652211,Rural,Regional,6,Low,National,Average,High,Downward,7
SHG_32,2002-09-30,16,Handicrafts,34519,11874,26675,1080,Paid,9,0.686777400523841,Urban,National,5,Low,Local,Poor,Low,Downward,4
SHG_33,2002-10-31,30,Agriculture,97487,18602,10495,5036,Paid,13,0.525244472206204,Urban,Local,7,Low,None,Good,High,Stable,10
SHG_34,2002-11-30,18,Agriculture,66819,6016,47668,15379,Pending,18,0.8137432858921396,Rural,Local,5,Medium,None,Poor,Low,Stable,4
SHG_35,2002-12-31,48,Handicrafts,90910,14774,18673,10822,Default,5,0.692806756432824,Urban,Regional,9,Low,National,Good,Medium,Downward,8
SHG_36,2003-01-31,27,Services,81324,10752,16130,2563,Pending,13,0.9681335697066096,Urban,Regional,2,High,None,Good,Medium,Stable,8
SHG_37,2003-02-28,13,Handicrafts,15408,18338,27668,3292,Paid,4,0.770995037444883,Urban,Local,3,Medium,Local,Average,High,Stable,3
SHG_38,2003-03-31,34,Agriculture,69379,16585,20222,3586,Paid,2,0.9698257556467541,Urban,Local,2,Medium,None,Poor,High,Stable,7
SHG_39,2003-04-30,23,Handicrafts,35053,8291,28669,16087,Default,16,0.610241846736652,Urban,Regional,0,High,None,Good,Low,Stable,3
SHG_40,2003-05-31,18,Agriculture,19446,1974,39068,16100,Pending,9,0.8628629551820517,Urban,Local,9,High,Local,Average,Low,Stable,1
SHG_41,2003-06-30,35,Handicrafts,10922,5133,28253,6643,Default,9,0.8086245104243628,Urban,Regional,4,High,None,Good,High,Stable,1
SHG_42,2003-07-31,11,Services,61356,15663,14435,3959,Pending,6,0.8697041149156559,Rural,Local,0,Low,None,Good,High,Upward,6
SHG_43,2003-08-31,29,Handicrafts,20789,4972,33552,11005,Paid,11,0.6073339319862684,Urban,Regional,0,High,None,Good,Medium,Downward,2
SHG_44,2003-09-30,37,Handicrafts,76656,6295,42384,10775,Default,1,0.8324972581188869,Rural,National,1,Low,None,Good,Medium,Stable,6
SHG_45,2003-10-31,16,Agriculture,54028,14913,21393,161,Default,4,0.7490201965284344,Rural,Regional,3,Medium,Local,Good,Medium,Downward,6
SHG_46,2003-11-30,17,Agriculture,74484,10105,15617,16029,Paid,13,0.8714124874531581,Rural,Regional,5,Medium,None,Good,High,Upward,7
SHG_47,2003-12-31,44,Agriculture,42154,9228,43520,16977,Default,13,0.6635223220759089,Urban,National,7,High,Local,Average,High,Stable,3
SHG_48,2004-01-31,23,Handicrafts,92870,10903,14852,14226,Pending,13,0.9450285127326263,Urban,Local,2,Low,None,Good,High,Downward,8
SHG_49,2004-02-29,26,Services,12336,4020,36401,11154,Pending,2,0.5421506573056751,Rural,National,0,High,None,Poor,Medium,Stable,1
SHG_50,2004-03-31,45,Agriculture,77779,9987,11295,12080,Pending,9,0.903594659395594,Urban,Regional,2,High,None,Average,High,Stable,7
SHG_51,2004-04-30,49,Agriculture,29029,13880,40993,3390,Pending,8,0.9306598129075454,Rural,Local,2,Low,None,Poor,Low,Stable,3
SHG_52,2004-05-31,13,Handicrafts,69201,6233,39084,5997,Paid,7,0.9086261556834105,Urban,National,4,High,Local,Good,High,Stable,5
SHG_53,2004-06-30,11,Agriculture,42265,10516,44575,12693,Default,4,0.756363197130888,Urban,Local,3,Medium,Local,Poor,High,Stable,3
SHG_54,2004-07-31,15,Services,53872,15559,41451,17047,Pending,18,0.7191924900153807,Rural,Local,3,High,Local,Good,High,Stable,4
SHG_55,2004-08-31,13,Services,56197,17701,12227,9324,Paid,3,0.9981311432624385,Rural,National,8,Low,National,Good,High,Stable,6
SHG_56,2004-09-30,38,Agriculture,65180,3396,36910,541,Default,6,0.6145859756070811,Rural,Local,6,Low,None,Average,High,Upward,5
SHG_57,2004-10-31,27,Agriculture,33710,19546,41041,5093,Default,12,0.7734379829380222,Urban,National,3,Medium,None,Average,Low,Upward,3
SHG_58,2004-11-30,35,Handicrafts,39486,2591,28384,13428,Paid,12,0.8353377626911628,Rural,Regional,2,Low,Local,Good,Low,Stable,3
SHG_59,2004-12-31,43,Services,81907,12303,5145,11166,Paid,8,0.850433817930716,Urban,Local,5,Low,National,Average,High,Stable,8
SHG_60,2005-01-31,19,Services,81895,7183,42778,17251,Pending,1,0.6020123328692893,Urban,Regional,2,Medium,None,Poor,Medium,Upward,6
SHG_61,2005-02-28,45,Agriculture,74435,2312,21035,16063,Default,4,0.8269970461699006,Urban,Regional,5,High,Local,Average,High,Upward,6
SHG_62,2005-03-31,23,Handicrafts,50631,8314,8040,10258,Default,11,0.9091847832406686,Rural,Local,8,Medium,None,Average,High,Upward,5
SHG_63,2005-04-30,40,Services,30103,19767,47422,16044,Paid,3,0.5250092884105562,Rural,National,5,High,None,Poor,High,Stable,2
SHG_64,2005-05-31,24,Services,74772,3139,31160,5469,Default,13,0.9557606466626583,Rural,Local,3,Medium,Local,Average,Medium,Downward,6
SHG_65,2005-06-30,17,Handicrafts,24382,15688,22633,6256,Pending,17,0.514752027572603,Urban,Regional,4,High,Local,Good,Medium,Downward,3
SHG_66,2005-07-31,23,Handicrafts,94291,19088,34344,10720,Default,10,0.6779855162441972,Urban,Regional,5,Medium,None,Poor,Medium,Downward,8
SHG_67,2005-08-31,32,Services,13756,7924,22014,1169,Paid,12,0.507906598116481,Rural,National,2,High,None,Good,Low,Downward,2
SHG_68,2005-09-30,49,Services,30609,1362,19996,830,Paid,15,0.5385725842697909,Urban,Local,7,Medium,Local,Poor,Medium,Stable,3
SHG_69,2005-10-31,30,Handicrafts,26478,19988,46621,1651,Pending,10,0.9555841425900395,Urban,Regional,3,High,None,Good,Low,Downward,3
SHG_70,2005-11-30,25,Services,49666,14481,16695,17520,Pending,14,0.6774304153730739,Rural,Regional,7,Medium,None,Good,Low,Upward,5
SHG_71,2005-12-31,27,Agriculture,85683,4738,7852,19194,Default,13,0.7123857652125265,Rural,Regional,9,Low,Local,Average,Medium,Upward,8
SHG_72,2006-01-31,33,Agriculture,81315,3469,21014,9518,Default,5,0.6076721906912763,Rural,National,9,High,None,Good,Medium,Downward,7
SHG_73,2006-02-28,35,Handicrafts,87834,17106,32042,13258,Paid,6,0.7985478850933598,Urban,Regional,2,Medium,None,Average,Medium,Upward,7
SHG_74,2006-03-31,34,Handicrafts,24153,17940,38755,16184,Pending,2,0.7974016073388948,Urban,Regional,9,High,National,Poor,Low,Stable,2
SHG_75,2006-04-30,38,Handicrafts,86325,10017,45390,1019,Pending,17,0.6861001959126096,Urban,Local,6,High,Local,Good,High,Downward,7
SHG_76,2006-05-31,24,Agriculture,22999,3808,28711,10028,Pending,4,0.6665174359026992,Urban,Local,8,Medium,National,Good,Medium,Downward,2
SHG_77,2006-06-30,10,Services,65318,17370,31122,12448,Default,14,0.9424821540902939,Urban,Regional,3,High,National,Poor,Medium,Stable,6
SHG_78,2006-07-31,34,Agriculture,10814,15870,14160,12485,Pending,10,0.6916421198211007,Rural,Regional,7,Medium,National,Poor,Medium,Upward,2
SHG_79,2006-08-31,16,Services,86077,13713,32213,1283,Paid,3,0.7467504960772041,Urban,Local,2,Low,None,Good,Low,Stable,7
SHG_80,2006-09-30,18,Agriculture,12443,8561,44420,17043,Paid,3,0.6416523812124653,Urban,National,6,High,None,Poor,Low,Stable,1
SHG_81,2006-10-31,33,Services,85993,3719,12421,18394,Default,15,0.8933847516785637,Urban,National,2,Low,National,Average,High,Upward,7
SHG_82,2006-11-30,10,Agriculture,85916,12700,26400,1733,Default,6,0.6987240784495459,Rural,National,6,High,National,Poor,Medium,Stable,8
SHG_83,2006-12-31,17,Handicrafts,83319,4741,38537,18509,Pending,17,0.7568055232721622,Rural,National,9,High,National,Poor,Low,Upward,6
SHG_84,2007-01-31,33,Agriculture,27368,10766,22727,18555,Default,12,0.6266785850298306,Rural,National,9,High,None,Good,High,Upward,3
SHG_85,2007-02-28,20,Services,25328,4998,9358,16230,Paid,11,0.993829796170626,Urban,National,5,Medium,National,Average,Medium,Stable,3
SHG_86,2007-03-31,26,Agriculture,66942,19787,33482,14472,Pending,4,0.6457478704618614,Rural,National,1,Low,National,Poor,Low,Upward,6
SHG_87,2007-04-30,17,Agriculture,37306,17077,37117,12889,Paid,6,0.8853712654527759,Rural,National,2,High,Local,Average,Medium,Stable,3
SHG_88,2007-05-31,44,Agriculture,95451,1294,28164,3471,Pending,1,0.7137478251783795,Rural,Local,5,Medium,Local,Average,Medium,Upward,8
SHG_89,2007-06-30,44,Handicrafts,49915,11177,36910,9028,Default,16,0.6031087025420699,Urban,National,3,High,None,Average,Low,Downward,4
SHG_90,2007-07-31,42,Agriculture,47219,10882,37496,8329,Pending,15,0.8998593819824305,Rural,National,5,Medium,Local,Good,Low,Upward,4
SHG_91,2007-08-31,14,Handicrafts,90879,2136,49311,2097,Pending,17,0.6668033945145215,Urban,National,0,High,Local,Poor,Low,Upward,6
SHG_92,2007-09-30,48,Handicrafts,74644,3064,34371,14082,Paid,8,0.9325966736989055,Urban,Regional,9,Low,Local,Good,Medium,Stable,6
SHG_93,2007-10-31,37,Agriculture,70279,8009,43467,13930,Paid,12,0.9576285924589115,Rural,Local,0,Low,None,Poor,Medium,Upward,5
SHG_94,2007-11-30,16,Agriculture,63028,13987,22625,10077,Pending,10,0.929911917695638,Urban,Local,2,High,Local,Poor,High,Downward,6
SHG_95,2007-12-31,18,Agriculture,10126,5543,38893,6397,Default,15,0.5175039574034028,Rural,Local,7,Medium,None,Good,Medium,Downward,1
SHG_96,2008-01-31,17,Services,62329,2007,15793,2757,Default,9,0.8936866725025527,Urban,National,7,High,National,Average,Low,Upward,6
SHG_97,2008-02-29,21,Agriculture,37632,6445,36007,18284,Paid,2,0.7056697332495719,Rural,National,3,Medium,Local,Average,Medium,Upward,3
SHG_98,2008-03-31,43,Handicrafts,75310,11706,30766,18994,Default,5,0.9368614600911125,Rural,Regional,5,High,None,Poor,High,Downward,6
SHG_99,2008-04-30,42,Agriculture,65176,15749,44532,17833,Paid,6,0.8189771313423694,Rural,Local,7,Medium,Local,Good,High,Stable,5
SHG_100,2008-05-31,32,Services,96066,12718,17323,5017,Default,7,0.9168215670719793,Urban,National,6,Low,National,Average,Low,Downward,9
SHG_101,2008-06-30,33,Agriculture,54327,10439,12843,16370,Pending,1,0.7497158849334177,Rural,Local,6,High,None,Average,Low,Downward,5
SHG_102,2008-07-31,46,Services,78904,14281,19210,7999,Paid,7,0.7675127522994665,Urban,Regional,3,Low,None,Poor,High,Upward,7
SHG_103,2008-08-31,44,Services,13797,2435,21456,10195,Paid,12,0.5721938160668336,Rural,Regional,8,Low,None,Poor,High,Upward,2
SHG_104,2008-09-30,49,Agriculture,57882,1571,36367,2096,Pending,16,0.8919936793446777,Urban,Regional,9,High,National,Good,High,Downward,4
SHG_105,2008-10-31,31,Handicrafts,23718,3382,15106,15433,Paid,16,0.7096948058334858,Urban,Local,5,High,National,Poor,Low,Stable,3
SHG_106,2008-11-30,36,Services,44560,6084,42957,10595,Default,11,0.7500400591357913,Rural,National,2,Medium,National,Average,High,Downward,3
SHG_107,2008-12-31,44,Agriculture,86589,17661,7472,15941,Default,4,0.8925488570478538,Rural,National,4,Medium,None,Average,High,Downward,9
SHG_108,2009-01-31,10,Agriculture,32116,14507,11704,19715,Paid,13,0.7994227000397195,Rural,Regional,4,Low,National,Average,Low,Stable,4
SHG_109,2009-02-28,44,Handicrafts,46244,8059,8713,15078,Default,7,0.6005493637213337,Rural,National,4,Medium,Local,Average,Medium,Downward,5
SHG_110,2009-03-31,46,Services,11645,19271,10051,5105,Paid,4,0.7951163295754464,Rural,Regional,7,Medium,National,Good,Medium,Downward,3
SHG_111,2009-04-30,23,Services,57523,13771,15756,19362,Pending,15,0.7038164289898279,Urban,Local,8,High,None,Good,High,Upward,6
SHG_112,2009-05-31,12,Agriculture,29256,18649,7475,2839,Paid,19,0.7347627710219313,Rural,Regional,8,Medium,Local,Poor,Medium,Stable,5
SHG_113,2009-06-30,10,Agriculture,63173,8491,41378,3384,Pending,9,0.5141556372013338,Rural,Local,5,Low,National,Poor,Medium,Upward,5
SHG_114,2009-07-31,14,Handicrafts,47430,15527,9255,10851,Default,11,0.6050146747581409,Urban,Regional,5,Medium,Local,Poor,Medium,Upward,6
SHG_115,2009-08-31,35,Handicrafts,49282,18424,19484,10053,Pending,8,0.6405190406905141,Rural,National,8,Low,Local,Good,Medium,Stable,5
SHG_116,2009-09-30,23,Services,73374,15859,39503,13493,Default,1,0.8564800039294029,Rural,National,3,High,None,Average,High,Stable,6
SHG_117,2009-10-31,48,Services,78244,9073,13258,17069,Paid,8,0.5057462366490577,Urban,Regional,5,Low,Local,Poor,Medium,Downward,7
SHG_118,2009-11-30,36,Agriculture,21694,10077,45747,14139,Default,13,0.704388630614566,Rural,National,3,Medium,Local,Average,Medium,Upward,1
SHG_119,2009-12-31,18,Services,66264,12383,40196,7531,Paid,4,0.9620134352128664,Rural,National,0,High,None,Poor,Low,Stable,5
SHG_120,2010-01-31,24,Handicrafts,85060,17378,45194,4283,Paid,8,0.555940308274562,Rural,National,6,Medium,None,Poor,High,Upward,7
SHG_121,2010-02-28,24,Handicrafts,67545,3353,13533,7736,Pending,3,0.7582121941093055,Urban,Local,9,High,None,Poor,Low,Upward,6
SHG_122,2010-03-31,35,Agriculture,49224,5799,37581,7710,Pending,9,0.8932611911954236,Rural,National,5,High,Local,Poor,Low,Stable,4
SHG_123,2010-04-30,22,Handicrafts,23224,18070,10249,1619,Pending,2,0.9712656537600584,Urban,Local,8,Medium,Local,Poor,High,Downward,4
SHG_124,2010-05-31,41,Handicrafts,50738,12939,24201,13975,Pending,2,0.873388319766859,Rural,Regional,6,Medium,Local,Average,Medium,Upward,5
SHG_125,2010-06-30,48,Handicrafts,35150,3428,14686,12835,Default,13,0.860282774322203,Urban,National,6,High,None,Poor,Low,Stable,4
SHG_126,2010-07-31,41,Handicrafts,73731,12296,37007,15261,Default,15,0.9132440450978812,Rural,National,1,High,National,Average,High,Downward,6
SHG_127,2010-08-31,13,Agriculture,59688,8813,5661,1431,Default,12,0.7231006104887718,Urban,National,8,Medium,Local,Good,Medium,Upward,7
SHG_128,2010-09-30,39,Agriculture,83509,15414,49843,9067,Paid,4,0.9029222663089165,Urban,Regional,9,Low,National,Poor,High,Stable,6
SHG_129,2010-10-31,46,Services,18577,12801,35137,4713,Default,8,0.5039822023727256,Urban,Local,8,Medium,None,Average,Low,Upward,2
SHG_130,2010-11-30,32,Handicrafts,18070,12745,47828,9557,Default,9,0.9622805276884024,Urban,Local,5,High,Local,Good,Medium,Stable,1
SHG_131,2010-12-31,48,Services,18666,14025,15526,9435,Default,5,0.7216532547585877,Urban,National,2,Medium,National,Good,Medium,Stable,3
SHG_132,2011-01-31,24,Agriculture,67761,4356,8374,4998,Pending,18,0.7766900939328738,Urban,Regional,0,Low,Local,Good,High,Upward,7
SHG_133,2011-02-28,38,Agriculture,46368,15288,30592,162,Default,11,0.6274411244574412,Rural,Regional,3,Medium,Local,Average,Medium,Upward,5
SHG_134,2011-03-31,45,Agriculture,16783,7540,33982,1974,Paid,15,0.8712654164202107,Rural,Regional,2,High,Local,Poor,Low,Stable,2
SHG_135,2011-04-30,22,Agriculture,51914,17422,5207,19675,Pending,9,0.5383179032376244,Urban,Regional,0,Medium,National,Poor,Low,Downward,6
SHG_136,2011-05-31,41,Agriculture,80507,4342,40433,8461,Paid,17,0.9363179012734176,Urban,Regional,2,High,None,Average,Low,Upward,6
SHG_137,2011-06-30,16,Agriculture,89026,10078,28197,17015,Default,12,0.9140584145031714,Urban,Local,3,High,Local,Poor,High,Stable,7
SHG_138,2011-07-31,31,Agriculture,77526,3844,38400,17289,Pending,7,0.6080300581223832,Urban,Local,7,Medium,None,Average,Medium,Stable,6
SHG_139,2011-08-31,37,Handicrafts,80835,11396,8083,2014,Paid,10,0.9046621991426311,Rural,Local,8,High,None,Poor,Medium,Downward,8
SHG_140,2011-09-30,11,Services,55765,18482,34328,9833,Default,10,0.8931788665307407,Urban,National,2,High,National,Good,Medium,Downward,5
SHG_141,2011-10-31,15,Agriculture,29956,19207,47891,7896,Paid,13,0.8161082988769746,Rural,Regional,5,Low,National,Poor,Low,Downward,3
SHG_142,2011-11-30,37,Handicrafts,97895,14998,25103,204,Paid,19,0.6867600884498437,Rural,National,9,Low,None,Average,Medium,Upward,9
SHG_143,2011-12-31,37,Handicrafts,56240,14261,44891,16965,Paid,11,0.6357493770909339,Urban,Regional,4,Low,Local,Average,Low,Stable,4
SHG_144,2012-01-31,29,Services,47148,4093,15754,9032,Default,13,0.615891795144675,Urban,Local,5,Low,National,Good,Medium,Stable,5
SHG_145,2012-02-29,39,Agriculture,14757,12722,39447,5347,Default,8,0.6593044813818036,Rural,National,3,High,Local,Average,Low,Stable,2
SHG_146,2012-03-31,20,Services,29097,12645,20901,2643,Paid,8,0.9517792217162652,Rural,Local,9,Medium,Local,Poor,Medium,Downward,4
SHG_147,2012-04-30,37,Agriculture,20395,16083,38004,8017,Pending,4,0.5388203879943907,Urban,Regional,5,High,Local,Poor,High,Stable,2
SHG_148,2012-05-31,34,Handicrafts,26241,1988,12446,18681,Pending,15,0.9144356381264793,Urban,Regional,6,High,None,Good,High,Upward,3
SHG_149,2012-06-30,48,Handicrafts,37696,7446,42211,17258,Default,11,0.6744450375209118,Urban,Regional,8,High,Local,Average,Low,Downward,3
SHG_150,2012-07-31,42,Handicrafts,80480,17335,34301,5560,Default,11,0.760799698005679,Rural,Local,9,Medium,None,Good,Low,Downward,7
SHG_151,2012-08-31,10,Handicrafts,56163,17133,31116,15892,Default,1,0.8972428168242453,Rural,Regional,6,Low,None,Poor,Medium,Downward,5
SHG_152,2012-09-30,36,Services,29816,2682,46323,14531,Default,17,0.9421882735114857,Urban,Local,5,High,Local,Good,Medium,Downward,2
SHG_153,2012-10-31,22,Agriculture,59840,6626,23752,17073,Default,15,0.6723907100363236,Rural,National,0,High,Local,Average,High,Upward,5
SHG_154,2012-11-30,12,Agriculture,62853,8424,37376,4000,Pending,6,0.7309217406375552,Rural,Regional,1,Low,Local,Good,Medium,Stable,5
SHG_155,2012-12-31,48,Services,34917,13857,21669,14289,Default,15,0.7072580324083961,Urban,Regional,0,High,Local,Average,Low,Upward,4
SHG_156,2013-01-31,15,Agriculture,31566,13155,37916,17055,Paid,9,0.5066255167519553,Urban,Regional,8,Medium,None,Average,Low,Stable,3
SHG_157,2013-02-28,17,Handicrafts,85452,18317,18395,7927,Paid,14,0.6479714444293283,Rural,National,9,High,Local,Poor,Low,Upward,8
SHG_158,2013-03-31,36,Agriculture,72823,12425,25421,15562,Pending,18,0.7295946168662809,Rural,Regional,9,High,Local,Poor,Low,Downward,6
SHG_159,2013-04-30,18,Handicrafts,30806,2980,31342,1171,Paid,17,0.7055468044402199,Urban,Local,8,Low,None,Poor,Low,Downward,3
SHG_160,2013-05-31,46,Services,85520,16522,9895,11918,Pending,18,0.8609646137578397,Urban,Local,6,High,National,Average,High,Upward,8
SHG_161,2013-06-30,42,Agriculture,11759,9984,16023,9135,Pending,5,0.6924018086105517,Urban,Regional,1,High,National,Good,High,Upward,2
SHG_162,2013-07-31,33,Services,51949,18175,15699,6342,Paid,9,0.7446882244853351,Urban,Regional,5,Medium,None,Average,Low,Stable,6
SHG_163,2013-08-31,24,Agriculture,12482,16883,14715,17833,Default,11,0.7148042960661817,Urban,National,3,Low,National,Poor,Medium,Upward,3
SHG_164,2013-09-30,41,Handicrafts,34442,6390,24169,11929,Paid,1,0.8703130744471852,Rural,National,0,Low,None,Poor,Low,Upward,3
SHG_165,2013-10-31,41,Services,43719,19639,21163,2539,Paid,18,0.9314861994934813,Rural,National,0,Medium,Local,Good,High,Stable,5
SHG_166,2013-11-30,33,Agriculture,68066,2607,10782,3959,Pending,6,0.7659445395037571,Rural,Regional,4,High,Local,Poor,Low,Stable,7
SHG_167,2013-12-31,21,Handicrafts,12079,7573,27641,13183,Paid,2,0.8947160970975956,Rural,National,1,Low,National,Poor,High,Stable,1
SHG_168,2014-01-31,48,Services,12717,18368,23792,5432,Pending,15,0.6483933410099253,Urban,National,3,Low,Local,Poor,High,Upward,2
SHG_169,2014-02-28,11,Services,69676,6776,40585,18745,Default,14,0.7706848050786343,Urban,Local,0,High,National,Good,Low,Stable,5
SHG_170,2014-03-31,12,Agriculture,37952,4676,35682,1753,Default,5,0.6726149768349863,Urban,National,3,High,National,Average,Low,Downward,3
SHG_171,2014-04-30,46,Agriculture,96444,4380,23880,18322,Default,6,0.7071004627859152,Rural,Local,5,Low,Local,Poor,Medium,Downward,8
SHG_172,2014-05-31,26,Agriculture,52460,9711,43067,10123,Paid,6,0.8662069324063343,Rural,Local,9,High,Local,Good,High,Downward,4
SHG_173,2014-06-30,11,Handicrafts,82847,9782,47685,16376,Pending,18,0.9408312411663564,Rural,National,3,Low,National,Poor,Medium,Upward,6
SHG_174,2014-07-31,11,Agriculture,99106,18434,23073,6588,Default,14,0.5607476955438827,Urban,Local,0,High,Local,Good,Low,Downward,9
SHG_175,2014-08-31,37,Services,28449,14997,41035,6304,Pending,10,0.8173196282436903,Rural,Regional,6,High,None,Poor,High,Upward,3
SHG_176,2014-09-30,32,Services,43536,7342,42174,7345,Pending,14,0.7910719037888992,Urban,Regional,1,Medium,Local,Good,Medium,Upward,3
SHG_177,2014-10-31,46,Agriculture,74077,18343,29837,15352,Default,13,0.559207519587966,Urban,National,8,High,Local,Poor,Medium,Downward,7
SHG_178,2014-11-30,41,Agriculture,48258,7059,22826,597,Default,3,0.6059471652200545,Urban,Regional,2,Medium,None,Average,Medium,Stable,5
SHG_179,2014-12-31,42,Services,58302,9884,29981,19446,Pending,6,0.6555012473663402,Urban,Local,7,High,Local,Poor,Low,Upward,5
SHG_180,2015-01-31,10,Handicrafts,38865,6655,15382,2336,Default,8,0.5834655354087508,Urban,Regional,7,Low,Local,Good,Low,Downward,4
SHG_181,2015-02-28,28,Agriculture,16645,13091,9437,9879,Pending,12,0.621864741262171,Urban,National,2,Low,National,Poor,Low,Upward,3
SHG_182,2015-03-31,11,Agriculture,48000,16251,10435,572,Pending,13,0.6338003994308538,Rural,National,3,High,Local,Average,High,Stable,6
SHG_183,2015-04-30,35,Services,36737,1526,29819,7521,Default,11,0.6678369165195298,Urban,Local,1,High,Local,Poor,Low,Stable,3
SHG_184,2015-05-31,41,Agriculture,21485,4224,41875,6171,Paid,12,0.8746952264005795,Urban,National,3,Low,None,Good,High,Downward,1
SHG_185,2015-06-30,15,Handicrafts,48565,16069,36982,18474,Default,1,0.7859561019253003,Rural,Regional,8,High,National,Good,Medium,Upward,4
